MEDIA_ID,MEDIA_NAME,CNT,TIME(2025/03/04 08:39:34.383),TIMETICK(f=10000000),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,KB,KBS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,BKID,BKDUR,BKPMIN,LPMM,LPMMV,RPMM,RPMMV,DIAL,DIALV,GSR,GSRV,HR,HRV,HRP,IBI,TTL0,TTL1,TTL2,TTL3,TTL4,TTL5,TTL6,TTLV,PIXS,PIXV,AOI,SACCADE_MAG,SACCADE_DIR,VID_FRAME
,,0,0.0,0,0.4564567820411031,0.5119230776075946,0.0,0.0,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.0,0.0,0
,,1,0.1825,1825000,0.44465531483338494,0.5542159292546465,0.0,0.1825,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.043908540498340254,105.59131644465462,0
,,2,0.3621,3621000,0.4427143359527738,0.625299424720276,0.0,0.3621,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.07110999034332062,91.5641081008001,0
,,3,0.5213,5213000,0.42928066450054364,0.5903805286146676,0.0,0.5213,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.0374138053921375,-111.04226612304561,0
,,4,0.6858,6858000,0.43919471223374207,0.537351191676929,0.0,0.6858,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.05394811320623126,-79.4105676247944,0
,,5,0.8398,8398000,0.41981851684783034,0.47746850988323725,0.0,0.8398,1,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.06293943538384794,-107.92998684298767,0
,,6,0.9918,9918000,0.34181249358903715,0.4064335583710321,0.9918,0.0,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.10550309948524127,-137.67793542582203,0
,,7,1.1503,11503000,0.31614397669081434,0.4228276103808361,0.9918,0.15850000000000009,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.0304571453201791,147.43431031060265,0
,,8,1.3174,13174000,0.2897917048911323,0.39433104439160976,0.9918,0.3255999999999999,2,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.03881361233101923,-132.7611836956391,0
,,9,1.4787,14787000,0.2692381171981106,0.5204200743174237,1.4787,0.0,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.12775325214916264,99.25827110598085,0
,,10,1.6479,16479000,0.2606703321283648,0.5098641663942168,1.4787,0.16920000000000002,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.013595371752349358,-129.06478088170067,0
,,11,1.8029,18029000,0.2551933237617653,0.5132763397288342,1.4787,0.32420000000000004,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.006452948745594945,148.07711547781346,0
,,12,1.9946,19946000,0.23318475163859703,0.4817966814446041,1.4787,0.5159,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.03841023473753577,-124.9587947680173,0
,,13,2.1538,21538000,0.2024807333057255,0.45383109228525487,1.4787,0.6751,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.04153084298223215,-137.67236561947797,0
,,14,2.3176,23176000,0.16760374545075898,0.42045487037521057,1.4787,0.8389000000000002,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.0482739730167717,-136.25962868561226,0
,,15,2.4691,24691000,0.21568545047388066,0.43839803599835425,1.4787,0.9904000000000002,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.051320634743834276,20.46460502281942,0
,,16,2.6239,26239000,0.24661984341109966,0.41535582578157704,1.4787,1.1452,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.03857304911552128,-36.681450253848276,0
,,17,2.78,27800000,0.2927340484240204,0.3834017339428138,1.4787,1.3013,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.056103332246969076,-34.71939723683628,0
,,18,2.9302,29302000,0.2951453031836113,0.3582086976036979,1.4787,1.4515000000000002,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.02530816527328017,-84.5328081305909,0
,,19,3.0933,30933000,0.3191102961975811,0.31346447462120053,1.4787,1.6146000000000003,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.05075791938670324,-61.8265107949544,0
,,20,3.2474,32474000,0.34286377416996333,0.2806700455817614,1.4787,1.7687,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.04049323760589239,-54.08364375260001,0
,,21,3.4042,34042000,0.3708480663655681,0.23189072093200055,1.4787,1.9255,3,1,0.0,0.0,0,0,0,,0,0,,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AOI_V,0.0562364928047238,-60.157465805353304,0
