ID,Best_EPS_Spatial,Best_EPS_Temporal,Best_MIN_SAMPLES,Score,Cluster_Count,Rows,Noise_Count
p1,0.07813479145240514,0.27251366666666776,3,0.44013409432800543,567,6017,812
p3,0.08033046438553991,0.24989800000001627,3,0.4247259879043986,645,7893,836
p4,0.07418708714597295,0.2138766666666893,3,0.45425653327301674,526,6137,841
p5,0.08393327610008697,0.25627677777774405,3,0.46629189971988694,429,4445,462
p6,0.1030788557359552,0.23178499999998695,3,0.3899819890672094,343,6388,155
p7,0.07506937974418704,0.2626896666667295,3,0.4279830594192738,935,11442,1274
p8,0.07647280021592118,0.24989800000001627,3,0.45413945837529757,565,5587,771
p9,0.09069553856379675,0.253616111111086,3,0.4347541135408265,480,5549,587
p10,0.08296114168338284,0.2445425555555555,3,0.47371625320686106,858,8713,867
p11,0.07821432083480505,0.25668611111112977,3,0.4642022283978741,299,2837,374
p12,0.09427523341973311,0.2530703333333386,3,0.4454117963798423,458,5776,405
p13,0.07981460151491437,0.253479666666637,3,0.47335573897626915,465,4910,430
p14,0.08197070716934288,0.26112055555554686,3,0.46259061583249295,1001,10509,1096
p15,0.07522455719541771,0.2615981111111086,3,0.44679205792260634,413,4352,515
p16,0.07572393260209118,0.25143299999999935,3,0.4593145511385757,495,5229,554
p17,0.07508902750830332,0.2400057777777177,3,0.47731619905260303,605,5803,693
p18,0.08814357380542376,0.24447433333335375,3,0.470318529183934,771,8191,767
p19,0.08023697448363451,0.2432463333333518,3,0.47207213676749515,530,5497,536
p20,0.07155323892449028,0.2540936666666768,3,0.45715052677365803,540,5600,647
p21,0.07737841524882748,0.2562085555555583,3,0.4258287285534824,696,7866,1059
p22,0.08711184377147163,0.2467597777778062,3,0.4481706309204757,540,5890,660
p23,0.072580138840839,0.2576753333333363,3,0.43255741155210753,603,6345,918
p24,0.0803497241279218,0.2562085555555583,3,0.46863491795880063,603,5527,763
p25,0.08013880158942008,0.2534114444444319,3,0.4445400956926319,793,8756,993
p26,0.09307718070989439,0.2439626666666992,3,0.4596986357230398,571,6049,650
p27,0.08897522248418194,0.25020499999999735,3,0.47126689480740824,202,1947,218
p28,0.07861282159441833,0.24982977777777235,3,0.46321647115100034,586,6615,579
p29,0.08843108334641184,0.24778311111111534,3,0.426168327173996,1203,15066,1527
p30,0.09294014349739735,0.2801886666666802,3,0.44676624104034507,927,9768,1072
p31,0.0786978673092807,0.25354788888891966,3,0.4477384258055244,574,6309,717
p32,0.07565578255387678,0.24515655555559865,3,0.4503807030496612,993,11017,1134
p33,0.0628382903714153,0.22990888888892022,3,0.4796926537797212,714,7357,790
p34,0.05727600977592416,0.2281351111111102,3,0.44748413787690944,645,6525,1069
p35,0.07787512345507747,0.2454294444444578,3,0.4737137713750757,884,9002,1038
p36,0.09075019650857985,0.24515655555555987,3,0.44248551280898685,421,4980,459
p37,0.07481947115645432,0.3817733333332914,3,0.45594953121913095,432,4636,547
p38,0.09069721607958478,0.25457122222222883,3,0.43989099182713565,401,4910,396
