x,y,TIME(2025/03/03 09:10:28.201),TIMETICK(f=10000000)
843.9748566015214,651.6767865609163,0.00000,0
821.5476609942971,593.7135639920041,0.21500,2150000
594.6294373539131,547.6463171013991,0.41890,4189000
480.411883553576,490.93143188012425,0.62430,6243000
466.6398547027935,430.15137400020546,0.83100,8310000
431.787139542027,382.1756561114517,1.03890,10389000
383.18312267984186,363.86710871710676,1.24740,12474000
335.08736945491177,296.5432031598316,1.45230,14523000
308.7686579585369,241.49165355283787,1.66250,16625000
287.4667443935337,246.40308557321566,1.87400,18740000
290.0492091903135,255.95132753090607,2.09290,20929000
353.187389421368,300.0068898738834,2.30080,23008000
366.6273381452965,304.77677359329044,2.51040,25104000
396.1603332851733,210.6981034492229,2.71310,27131000
473.4090639400062,183.62769272301006,2.91740,29174000
497.0759480291326,79.67503588480233,3.12550,31255000
463.3174981838485,35.06065062831513,3.32690,33269000
484.8847057654947,-23.932384340657727,3.55560,35556000
574.8871115960987,-58.06443902525317,3.76570,37657000
627.2153143118196,-48.15792050474417,3.97020,39702000
666.765109752964,-73.39815455938299,4.18250,41825000
571.0808791031257,-28.044637315040575,4.38700,43870000
526.3630262124617,12.57368446632443,4.59880,45988000
495.8837888289225,70.65833578119107,4.80590,48059000
655.5816100536539,70.87271053354408,5.01160,50116000
790.3183396751799,69.42603065438811,5.21820,52182000
865.9777562747092,114.99196936260114,5.42300,54230000
982.6492892162399,131.9821754212585,5.63460,56346000
1060.5140120498147,167.35932838310464,5.84890,58489000
1127.1776943926568,180.5099166674847,6.05770,60577000
1266.8879638082183,312.7656858744127,6.27530,62753000
1449.4379649584548,308.87440076100035,6.49020,64902000
1536.701926863661,246.89820497881772,6.71090,67109000
1684.771980810402,243.44100462260798,6.92680,69268000
1740.3364303237952,216.6188283341132,7.15860,71586000
1817.5370959402817,191.13961514784205,7.37620,73762000
1875.0987661741217,114.5551567811744,7.59060,75906000
1790.5684970454056,141.07598429215943,7.81140,78114000
1605.670032664143,206.0240429304078,8.02390,80239000
1234.1386152297546,289.9039048902288,8.24420,82442000
993.0973309892113,355.175956456395,8.45440,84544000
1130.318069182727,327.12871339970576,8.70070,87007000
1144.9754395102361,251.3864127224741,8.91490,89149000
1221.297281660168,203.77012676604187,9.12150,91215000
1289.7439656158542,158.3260282341745,9.34280,93428000
1384.513115606844,99.8697098266897,9.56070,95607000
1491.8950455730712,112.95261444227822,9.77290,97729000
1475.1565883518272,91.59272235470546,9.99020,99902000
1506.7815124962221,61.357713606287895,10.21110,102111000
1559.331745010394,85.4752669763693,10.44610,104461000
1567.459430721851,96.64463531047288,10.65750,106575000
1304.641857287961,223.83030289748757,10.87640,108764000
1049.7319446961492,321.80296742363066,11.08270,110827000
811.899555750288,406.5323746471678,11.29910,112991000
594.1441212449256,504.4734181148655,11.50990,115099000
468.7882689242347,542.7652353122284,11.71670,117167000
412.2266449469026,478.5046244270358,11.92290,119229000
484.66447916732375,498.0752291288162,12.14190,121419000
468.8360332369686,508.8094179388481,12.34810,123481000
455.6859690355059,560.3161857640565,12.58210,125821000
470.8032902939815,533.9353400077158,12.79580,127958000
352.5713332296331,497.4052232941751,13.01670,130167000
196.45544210680092,526.1870599969212,13.22390,132239000
104.37001372219723,535.8004018284687,13.43470,134347000
-0.17414783043782123,551.5904153897803,13.64090,136409000
-59.740511437216696,578.198112100561,13.84810,138481000
-70.36215590526213,605.0584312351237,14.05600,140560000
-69.28697099146376,642.6434092157361,14.26700,142670000
-93.66730554062205,653.2968747797662,14.47980,144798000
-98.95242858947368,654.583927058574,14.70530,147053000
-145.33807238785147,638.9122698822543,14.92060,149206000
-143.951242354914,662.514299539464,15.13630,151363000
-13.45692580023757,587.0843103620203,15.34430,153443000
106.39892365581862,572.7830751747742,15.55350,155535000
184.0035268232576,496.5251374075561,15.76530,157653000
489.1077226636984,516.2373082393265,15.98300,159830000
582.5763507390717,501.2671432226718,16.19700,161970000
583.1511411745888,345.0180769676376,16.40390,164039000
714.3892866170909,367.14979707114867,16.61300,166130000
810.2039728941528,364.3816384273787,16.82700,168270000
863.3879739665153,349.7428085783844,17.06860,170686000
955.2372049635673,348.21664617206244,17.27770,172777000
978.9868803706108,330.78177852613993,17.48740,174874000
962.5235848369476,330.66405559553004,17.69990,176999000
901.7120749231862,339.5198356347939,17.90980,179098000
919.74462846552,358.86034745040973,18.11370,181137000
861.9902601176268,381.74782619621845,18.33680,183368000
831.9762125861021,332.80918340415246,18.55060,185506000
837.8105420972133,303.45483500706473,18.75390,187539000
779.1607204710257,305.6788196144819,18.96570,189657000
742.2198497662325,307.61015590028137,19.18190,191819000
746.6337015542856,346.21588287000924,19.39430,193943000
789.4507358827397,375.7528798100107,19.61460,196146000
868.4131041759026,508.80881666823564,19.81880,198188000
855.6092329992994,557.6529545640393,20.03150,200315000
836.0139529522872,532.9811096313988,20.24280,202428000
877.8515282769665,588.2839487529413,20.45640,204564000
809.6277230833081,587.0800538033419,20.65860,206586000
710.0512910282645,523.3594915312356,20.88930,208893000
623.3831233589829,479.9556467465211,21.09230,210923000
711.6330633029546,468.86277091371426,21.30210,213021000
682.2938965276167,392.93184931207634,21.52400,215240000
729.2906916396624,405.5013542192122,21.73120,217312000
790.4856250154608,446.92817407005725,21.93850,219385000
814.3300470486067,430.7979769082976,22.14870,221487000
785.4433074426277,511.7161394994836,22.36440,223644000
772.4215337955297,371.51867890866976,22.58340,225834000
745.0027526364061,293.96985821081205,22.79860,227986000
759.0163055603306,275.60904726342346,23.01250,230125000
786.4836585192581,270.6979934029435,23.22610,232261000
792.6396238460335,228.7204171161647,23.44000,234400000
827.5746681655289,242.87788367687185,23.65320,236532000
861.8040401574749,325.5451764710798,23.86970,238697000
717.9817598211637,262.4582781631893,24.08480,240848000
663.6815437881979,221.38858409832582,24.29810,242981000
627.6691948088594,232.51817838110637,24.50930,245093000
539.0990537835752,219.42552651334552,24.72260,247226000
459.8151163851911,175.07591118899063,24.93910,249391000
648.4254837217999,201.53847798612176,25.14720,251472000
